event_date,location_description,latitude,longitude,landslide_category,landslide_size,landslide_trigger,fatality_count,injury_count
2017-07-04 19:39:00,"Abotani Colony, Daporijo Township, Arunachal Pradesh, India",27.98531715,94.21263589,landslide,medium,rain,0,0
2017-07-01 16:00:00,"Wokha Sadar Sub-District, Wokha, Nagaland",26.11613908,94.24222574,landslide,small,continuous_rain,0,0
2017-06-19 19:39:00,"05158, Westminster, Vermont",43.10590179,-72.44447441,mudslide,small,downpour,0,0
2017-07-01 16:00:00,"Orere Point, New Zealand",-36.95665535,175.2344014,landslide,small,downpour,0,0
2017-07-05 19:39:00,"Ghundhum (??), Naikkhangchhari Upazila, Bandarban District, Bangladesh",21.42181705,92.17584376,landslide,medium,continuous_rain,1,1
2017-07-04 19:39:00,"Daporijo-Dumporijo road, Arunachal Pradesh, India",27.97875751,94.26296826,landslide,small,rain,0,0
2016-09-08 18:04:00,"Manipis Road, Cebu, Philippines",10.283626,123.821113,landslide,medium,rain,0,0
2017-06-14 18:48:00,,21.04270451,92.21525816,landslide,medium,downpour,2,0
2017-07-05 16:00:00,"Kurseong, Darjeeling, West Bengal, India",26.90298048,88.29518925,landslide,medium,continuous_rain,0,0
2017-06-28 16:00:00,"Aizawl, Mizoram State, India",23.69461107,92.87641207,landslide,large,other,0,0
2017-07-04 16:00:00,"Diego Martin, Trinidad",10.68399129,-61.54264771,landslide,small,continuous_rain,0,0
2017-07-01 16:00:00,"Gang Masjid, Tanah Sareal, Bogor, West Java, Indonesia",-6.558993431,106.78629,landslide,medium,continuous_rain,0,0
2017-07-02 16:00:00,"Shazi, Guizhou Province, China",28.54909078,108.5421686,landslide,large,continuous_rain,0,0
2017-07-03 18:04:00,"Milford Sound, New Zealand",-44.675943,167.940244,landslide,medium,rain,0,0
2017-07-01 16:00:00,"Chuchuyimpang, Mokokchung, Nagaland",26.3312531,94.55427723,landslide,medium,downpour,0,0
2017-07-06 19:39:00,"Alubari, Darjeeling, West Bengal, India",27.02149311,88.25902123,landslide,medium,continuous_rain,0,0
2016-08-16 12:40:00,"Galeshwor, Beni, Nepal",28.372874,83.567989,landslide,small,rain,1,0
2017-06-25 13:10:00,Y:38.747389 X:75.196056,38.74738889,75.19605556,mudslide,medium,rain,0,0
2017-06-13 13:27:00,"175 West Malvern Road, Great Malvern, Worcestershire, WR14 4",52.1104766,-2.345003962,landslide,small,unknown,0,0
2016-08-15 12:40:00,Barangay Guisad Surong in Baguio City in Phillipines,16.404676,120.595832,mudslide,medium,continuous_rain,0,0
2017-06-19 20:14:00,"Magodo Phas II, 21 Odofian St, Lagos",6.622961187,3.381341033,mudslide,medium,rain,6,1
2017-06-01 13:34:00,Mile marker 265 on Highway 50,38.48258714,-105.4129317,rock_fall,small,unknown,0,0
2017-05-15 13:34:00,Twelve Mile Canyon Road about 9 miles east of Mayfield,39.12221676,-111.6038025,landslide,small,unknown,0,0
2017-06-05 13:20:00,Road to Dubrovnik Airport,42.62244921,18.18030889,landslide,small,leaking_pipe,0,0
2017-05-20 20:14:00,"Kanyakiri village, near Embu",-0.58474,37.559988,mudslide,medium,rain,0,0
